document	content	tag
ROSENBLATT v. BAER_MCL	MR. JUSTICE BRENNAN delivered the opinion of the Court.	Announcing function
ROSENBLATT v. BAER_MCL	A jury in New Hampshire Superior Court awarded respondent damages in this civil libel action based on one of petitioner's columns in the Laconia Evening Citizen.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	Respondent alleged that the column contained defamatory falsehoods concerning his performance as Supervisor of the Belknap Country Recreation Area, a facility owned and operated by Belknap County.	Describing procedural events
ROSENBLATT v. BAER_MCL	In the interval between the trial and the decision of petitioner's appeal by the New Hampshire Supreme Court, we decided New York Times Co. v. Sullivan, 376 U. S. 254 .	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	We there held that consistent with the First and Fourteenth Amendments a State cannot award damages to a public official for defamatory falsehood relating to his official conduct unless the official proves actual malicethat the falsehood was published with knowledge of its falsity or with reckless disregard of whether it was true or false.	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	The New Hampshire Supreme Court affirmed the award, finding New York Times no bar.	Giving the holding/ruling of a lower court
ROSENBLATT v. BAER_MCL	106 N. H. 26, 203 A. 2d 773.	Citing primary sources (other than SCOTUS decisions)
ROSENBLATT v. BAER_MCL	"We granted certiorari and requested the parties to brief and argue, in addition to the questions presented in the petition for certiorari, the question whether respondent was a ""public official"" under New York Times and under our decision in Garrison v. Louisiana, 379 U. S. 64 . 380 U. S. 941."	Granting certiorari
ROSENBLATT v. BAER_MCL	The Recreation Area was used principally as a ski resort but also for other recreational activities.	Giving the context
ROSENBLATT v. BAER_MCL	Respondent was employed by and directly responsible to the Belknap County Commissioners, three elected officials in charge of the county government.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	During the 1950's, a public controversy developed over the way respondent and the Commissioners operated the Area; some protested that respondent and the Commissioners had not developed the *78 Area's full potential, either as a resort for local residents or as a tourist attraction that might contribute to the county's taxes.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	some protested that respondent and the Commissioners had not developed the *78 Area's full potential, either as a resort for local residents or as a tourist attraction that might contribute to the county's taxes.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	The discussion culminated in 1959, when the New Hampshire Legislature enacted a law transferring control of the Area to a special five-man commission. [1]	Giving the context
ROSENBLATT v. BAER_MCL	At least in part to give this new regime a fresh start, respondent was discharged.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	Petitioner regularly contributed an unpaid column to the Laconia Evening Citizen.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	In it he frequently commented on political matters.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	As an outspoken proponent of the change in operations at the Recreation Area, petitioner's views were often sharply stated, and he had indicated disagreement with the actions taken by respondent and the County Commissioners.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	In January 1960, during the first ski season under the new management, some six months after respondent's discharge, petitioner published the column that respondent alleges libeled him.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	In relevant part, it reads:	Announcing function
ROSENBLATT v. BAER_MCL	"Been doing a little listening and checking at Belknap Recreation Area and am thunderstruck by what am learning. ""This year, a year without snow till very late, a year with actually few very major changes in procedure; the difference in cash income simply fantastic, almost unbelievable. ""On any sort of comparative basis, the Area this year is doing literally hundreds of per cent BETTER than last year. ""When consider that last year was excellent snow year, that season started because of more snow, months earlier last year, one can only ponder following question: ""What happened to all the money last year? and every other year? What magic has Dana Beane *79 [Chairman of the new commission] and rest of commission, and Mr. Warner [respondent's replacement as Supervisor] wrought to make such tremendous difference in net cash results?"	Quoting secondary sources
ROSENBLATT v. BAER_MCL	The column on its face contains no clearly actionable statement.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	"Although the questions ""What happened to all the money last year? and every other year?"" could be read to imply peculation, they could also be read, in context, merely to praise the present administration."	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	The only persons mentioned by name are officials of the new regime; no reference is made to respondent, the three elected commissioners, or anyone else who had a part in the administration of the Area during respondent's tenure.	Recalling a fact or procedural event
ROSENBLATT v. BAER_MCL	no reference is made to respondent, the three elected commissioners, or anyone else who had a part in the administration of the Area during respondent's tenure	Recalling a fact or procedural event
ROSENBLATT v. BAER_MCL	"Persons familiar with the controversy over the Area might well read it as complimenting the luck or skill of the new management in attracting increased patronage and producing a ""tremendous difference in net cash results"" despite less favorable snow; indeed, witnesses for petitioner testified that they so read the column."	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	indeed, witnesses for petitioner testified that they so read the column.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	Respondent offered extrinsic proofs to supply a defamatory meaning.	Describing procedural events
ROSENBLATT v. BAER_MCL	These proofs were that the column greatly exaggerated any improvement under the new regime, and that a large part of the community understood it to say that the asserted improvements were not explicable by anything the new management had done.	Describing procedural events
ROSENBLATT v. BAER_MCL	Rather, his witnesses testified, they read the column as imputing mismanagement and peculation during respondent's tenure.	Describing the adjudicated facts
ROSENBLATT v. BAER_MCL	Respondent urged two theories to support a recovery based on that imputation.	Describing procedural events
ROSENBLATT v. BAER_MCL	The first was that the jury could award him damages if it found that the column cast suspicion indiscriminately *80 on the small number of persons who composed the former management group, whether or not it found that the imputation of misconduct was specifically made of and concerning him. [2]	Recalling an argument from the respondent
ROSENBLATT v. BAER_MCL	"This theory of recovery was open to respondent under New Hampshire law; the trial judge explicitly instructed the jury that ""an imputation of impropriety or a crime to one or some of a small group that casts suspicion upon all is actionable."" [3]"	Describing primary sources (other than SCOTUS decisions)
ROSENBLATT v. BAER_MCL	The question is presented, however, whether that theory of recovery is precluded by our holding in New York Times that, in the absence of sufficient evidence that the attack focused on the plaintiff, an otherwise impersonal attack on governmental operations cannot be utilized to establish a libel of those administering the operations.	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	376 U. S., at 290-292 .	Citing a SCOTUS decision
ROSENBLATT v. BAER_MCL	The plaintiff in New York Times was one of the three elected Commissioners of the City of Montgomery, Alabama.	Giving the facts of another case
ROSENBLATT v. BAER_MCL	His duties included the supervision of the police department.	Giving the facts of another case
ROSENBLATT v. BAER_MCL	"The statements in the advertisement upon which he principally relied as referring to him were that ""truckloads of police . . . ringed the Alabama State College Campus"" after a demonstration on the State Capitol steps, and that Dr. Martin Luther King had been ""arrested . . . seven times."""	Giving the facts of another case
ROSENBLATT v. BAER_MCL	"These statements were false in that although the police had been ""deployed near the campus,"" they had not actually ""ringed"" it and had not gone there in connection with a State Capitol demonstration, and in that Dr. King had been arrested only *81 four times."	Giving the facts of another case
ROSENBLATT v. BAER_MCL	"We held that evidence that Sullivan as Police Commissioner was the supervisory head of the Police Department was constitutionally insufficient to show that the statements about police activity were ""of and concerning"" him; we rejected as inconsistent with the First and Fourteenth Amendments the proposition followed by the Alabama Supreme Court in the case that ""[i]n measuring the performance or deficiencies of . . . groups, praise or criticism is usually attached to the official in complete control of the body,"""	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	"we rejected as inconsistent with the First and Fourteenth Amendments the proposition followed by the Alabama Supreme Court in the case that ""[i]n measuring the performance or deficiencies of . . . groups, praise or criticism is usually attached to the official in complete control of the body,"" 273 Ala. 656, 674-675, 144 So. 2d 25, 39."	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	To allow the jury to connect the statements with Sullivan on that presumption alone was, in our view, to invite the spectre of prosecutions for libel on government, which the Constitution does not tolerate in any form.	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	376 U. S., at 273-276, 290-292 . [4]	Citing a SCOTUS decision
ROSENBLATT v. BAER_MCL	"We held ""that such a proposition may not constitutionally be utilized to establish that an otherwise impersonal attack on governmental operations was a libel of an official responsible for those operations."""	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	376 U. S., at 292 .	Citing a SCOTUS decision
ROSENBLATT v. BAER_MCL	There must be evidence showing that the attack was read as specifically directed at the plaintiff.	Recalling a SCOTUS decision
ROSENBLATT v. BAER_MCL	Were the statement at issue in this case an explicit charge that the Commissioners and Baer or the entire Area management were corrupt, we assume without deciding that any member of the identified group might recover. [5]	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	The statement itself might be sufficient evidence that the attack was specifically directed at each individual.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	Even if a charge and reference were merely implicit, as is alleged here, but a plaintiff could show by extrinsic proofs that the statement referred to him, it would be no defense to a suit by one member of an *82 identifiable group engaged in governmental activity that another was also attacked.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	These situations are distinguishable from the present case; here, the jury was permitted to infer both defamatory content and reference from the challenged statement itself, although the statement on its face is only an impersonal discussion of government activity.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	To the extent the trial judge authorized the jury to award respondent a recovery without regard to evidence that the asserted implication of the column was made specifically of and concerning him, we hold that the instruction was erroneous. [6]	Giving the holding/ruling of the Court
ROSENBLATT v. BAER_MCL	Here, no explicit charge of peculation was made; no assault on the previous management appears.	Recalling a fact or procedural event
ROSENBLATT v. BAER_MCL	The jury was permitted to award damages upon a finding merely that respondent was one of a small group acting for an organ of government, only some of whom were implicated, but all of whom were tinged with suspicion.	Recalling a fact or procedural event
ROSENBLATT v. BAER_MCL	In effect, this permitted the jury to find liability merely on the basis of his relationship to the government agency, the operations of which were the subject of discussion.	Recalling a fact or procedural event
ROSENBLATT v. BAER_MCL	It is plain that the elected Commissioners, also members of that group, *83 would have been barred from suit on this theory under New York Times.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	They would be required to show specific reference.	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	Whether or not respondent was a public official, as a member of the group he bears the same burden. [7]	Stating the Court's reasoning
ROSENBLATT v. BAER_MCL	A theory that the column cast indiscriminate suspicion on the members of the group responsible for the conduct of this governmental operation is tantamount to a demand for recovery based on libel of government, and therefore is constitutionally insufficient.	Stating the Court's reasoning
